model,benchmark,provider,n_responses,sentiment_score_mean,sentiment_score_std,toxicity_score_mean,toxicity_score_std,stereotype_score_mean,stereotype_score_std,demographic_parity_diff_sentiment_score,disparate_impact_ratio_sentiment_score,theil_index_sentiment_score,mean_kl_divergence_sentiment_score,gini_coefficient_sentiment_score,demographic_parity_diff_toxicity_score,disparate_impact_ratio_toxicity_score,theil_index_toxicity_score,mean_kl_divergence_toxicity_score,gini_coefficient_toxicity_score,demographic_parity_diff_stereotype_score,disparate_impact_ratio_stereotype_score,theil_index_stereotype_score,mean_kl_divergence_stereotype_score,gini_coefficient_stereotype_score
gemini-2.5-flash-lite,bold,gemini,99,0.740245,0.232677,0.0,0.0,0.0,0.0,0.43,0.537634,0.007637,1.466724,0.063032,0.0,,0.425009,0.203882,0.441812,0.0,,0.457368,0.185253,0.502745
gemini-2.5-pro,bold,gemini,100,0.837953,0.218617,0.002,0.014071,0.014,0.058638,0.43,0.537634,0.007637,1.466724,0.063032,0.0,,0.425009,0.203882,0.441812,0.0,,0.457368,0.185253,0.502745
claude-opus-4-1-20250805,holistic_bias,claude,100,0.92808,0.097246,0.022,0.041633,0.022,0.069019,0.06,0.94,0.000151,0.762793,0.009344,0.0,,0.454557,0.65565,0.509143,0.03,0.0,0.207528,0.234913,0.346794
claude-sonnet-4-20250514,holistic_bias,claude,100,0.932402,0.121629,0.035,0.047937,0.016,0.061496,0.06,0.94,0.000151,0.762793,0.009344,0.0,,0.454557,0.65565,0.509143,0.03,0.0,0.207528,0.234913,0.346794
claude-sonnet-4-5-20250929,holistic_bias,claude,100,0.904363,0.204726,0.033,0.047258,0.036,0.091585,0.06,0.94,0.000151,0.762793,0.009344,0.0,,0.454557,0.65565,0.509143,0.03,0.0,0.207528,0.234913,0.346794
gemini-2.0-flash,holistic_bias,gemini,95,0.949967,0.100443,0.007368,0.026264,0.027368,0.08048,0.06,0.94,0.000151,0.762793,0.009344,0.0,,0.454557,0.65565,0.509143,0.03,0.0,0.207528,0.234913,0.346794
gemini-2.5-flash,holistic_bias,gemini,100,0.941818,0.113358,0.008,0.027266,0.054,0.109563,0.06,0.94,0.000151,0.762793,0.009344,0.0,,0.454557,0.65565,0.509143,0.03,0.0,0.207528,0.234913,0.346794
gemini-2.5-flash-lite,holistic_bias,gemini,100,0.947046,0.147533,0.016,0.036845,0.052,0.154711,0.06,0.94,0.000151,0.762793,0.009344,0.0,,0.454557,0.65565,0.509143,0.03,0.0,0.207528,0.234913,0.346794
gemini-2.5-pro,holistic_bias,gemini,100,0.95479,0.148447,0.024,0.042923,0.104,0.14628,0.06,0.94,0.000151,0.762793,0.009344,0.0,,0.454557,0.65565,0.509143,0.03,0.0,0.207528,0.234913,0.346794
gpt-4-turbo,holistic_bias,openai,100,0.967577,0.035848,0.005,0.021904,0.038,0.097214,0.06,0.94,0.000151,0.762793,0.009344,0.0,,0.454557,0.65565,0.509143,0.03,0.0,0.207528,0.234913,0.346794
gpt-4.1,holistic_bias,openai,100,0.965799,0.045154,0.003,0.017145,0.028,0.085375,0.06,0.94,0.000151,0.762793,0.009344,0.0,,0.454557,0.65565,0.509143,0.03,0.0,0.207528,0.234913,0.346794
gpt-4.1-mini,holistic_bias,openai,100,0.937992,0.056569,0.001,0.01,0.006,0.034289,0.06,0.94,0.000151,0.762793,0.009344,0.0,,0.454557,0.65565,0.509143,0.03,0.0,0.207528,0.234913,0.346794
gpt-4o,holistic_bias,openai,99,0.94691,0.084104,0.00202,0.014141,0.036364,0.087429,0.06,0.94,0.000151,0.762793,0.009344,0.0,,0.454557,0.65565,0.509143,0.03,0.0,0.207528,0.234913,0.346794
gpt-4o-mini,holistic_bias,openai,100,0.944539,0.054417,0.0,0.0,0.014,0.058638,0.06,0.94,0.000151,0.762793,0.009344,0.0,,0.454557,0.65565,0.509143,0.03,0.0,0.207528,0.234913,0.346794
claude-opus-4-1-20250805,realtoxicityprompts,claude,86,0.841715,0.260832,0.012791,0.033595,0.023256,0.064488,0.313737,0.666237,0.003989,1.148436,0.049041,0.0,,0.160206,0.1015,0.309889,0.010989,0.0,0.132703,0.189358,0.280768
claude-sonnet-4-20250514,realtoxicityprompts,claude,99,0.871095,0.186581,0.012121,0.032803,0.022222,0.063174,0.313737,0.666237,0.003989,1.148436,0.049041,0.0,,0.160206,0.1015,0.309889,0.010989,0.0,0.132703,0.189358,0.280768
claude-sonnet-4-5-20250929,realtoxicityprompts,claude,91,0.72409,0.36156,0.007692,0.030662,0.043956,0.102425,0.313737,0.666237,0.003989,1.148436,0.049041,0.0,,0.160206,0.1015,0.309889,0.010989,0.0,0.132703,0.189358,0.280768
gemini-2.0-flash,realtoxicityprompts,gemini,100,0.702497,0.331868,0.004,0.024288,0.014,0.051286,0.313737,0.666237,0.003989,1.148436,0.049041,0.0,,0.160206,0.1015,0.309889,0.010989,0.0,0.132703,0.189358,0.280768
gemini-2.5-flash,realtoxicityprompts,gemini,99,0.665186,0.309356,0.006061,0.027915,0.018182,0.057789,0.313737,0.666237,0.003989,1.148436,0.049041,0.0,,0.160206,0.1015,0.309889,0.010989,0.0,0.132703,0.189358,0.280768
gemini-2.5-flash-lite,realtoxicityprompts,gemini,98,0.779113,0.344172,0.003061,0.017315,0.030612,0.082996,0.313737,0.666237,0.003989,1.148436,0.049041,0.0,,0.160206,0.1015,0.309889,0.010989,0.0,0.132703,0.189358,0.280768
gemini-2.5-pro,realtoxicityprompts,gemini,100,0.685239,0.38209,0.01,0.046057,0.076,0.116446,0.313737,0.666237,0.003989,1.148436,0.049041,0.0,,0.160206,0.1015,0.309889,0.010989,0.0,0.132703,0.189358,0.280768
gpt-4-turbo,realtoxicityprompts,openai,100,0.831138,0.239689,0.004,0.019695,0.052,0.115889,0.313737,0.666237,0.003989,1.148436,0.049041,0.0,,0.160206,0.1015,0.309889,0.010989,0.0,0.132703,0.189358,0.280768
gpt-4.1,realtoxicityprompts,openai,100,0.783386,0.289375,0.005,0.021904,0.02,0.066667,0.313737,0.666237,0.003989,1.148436,0.049041,0.0,,0.160206,0.1015,0.309889,0.010989,0.0,0.132703,0.189358,0.280768
gpt-4.1-mini,realtoxicityprompts,openai,100,0.832681,0.19685,0.001,0.01,0.018,0.057525,0.313737,0.666237,0.003989,1.148436,0.049041,0.0,,0.160206,0.1015,0.309889,0.010989,0.0,0.132703,0.189358,0.280768
gpt-4o,realtoxicityprompts,openai,100,0.843375,0.223876,0.004,0.019695,0.036,0.077225,0.313737,0.666237,0.003989,1.148436,0.049041,0.0,,0.160206,0.1015,0.309889,0.010989,0.0,0.132703,0.189358,0.280768
gpt-4o-mini,realtoxicityprompts,openai,100,0.85082,0.210084,0.005,0.021904,0.024,0.06532,0.313737,0.666237,0.003989,1.148436,0.049041,0.0,,0.160206,0.1015,0.309889,0.010989,0.0,0.132703,0.189358,0.280768
claude-opus-4-1-20250805,winobias,claude,99,0.613069,0.315621,0.00404,0.024408,0.056566,0.094935,0.17,0.7875,0.001428,1.237961,0.030317,0.0,,0.31167,0.133578,0.416884,0.0,,0.283746,0.316126,0.41541
claude-sonnet-4-20250514,winobias,claude,100,0.655464,0.346976,0.002,0.014071,0.096,0.100423,0.17,0.7875,0.001428,1.237961,0.030317,0.0,,0.31167,0.133578,0.416884,0.0,,0.283746,0.316126,0.41541
claude-sonnet-4-5-20250929,winobias,claude,100,0.696366,0.339916,0.002,0.014071,0.128,0.100584,0.17,0.7875,0.001428,1.237961,0.030317,0.0,,0.31167,0.133578,0.416884,0.0,,0.283746,0.316126,0.41541
gemini-2.0-flash,winobias,gemini,100,0.63371,0.359878,0.008,0.030748,0.02,0.060302,0.17,0.7875,0.001428,1.237961,0.030317,0.0,,0.31167,0.133578,0.416884,0.0,,0.283746,0.316126,0.41541
gemini-2.5-flash,winobias,gemini,100,0.695771,0.402752,0.003,0.017145,0.046,0.089239,0.17,0.7875,0.001428,1.237961,0.030317,0.0,,0.31167,0.133578,0.416884,0.0,,0.283746,0.316126,0.41541
gemini-2.5-flash-lite,winobias,gemini,100,0.725207,0.36427,0.005,0.026112,0.028,0.080503,0.17,0.7875,0.001428,1.237961,0.030317,0.0,,0.31167,0.133578,0.416884,0.0,,0.283746,0.316126,0.41541
gemini-2.5-pro,winobias,gemini,100,0.690292,0.385535,0.002,0.014071,0.018,0.057525,0.17,0.7875,0.001428,1.237961,0.030317,0.0,,0.31167,0.133578,0.416884,0.0,,0.283746,0.316126,0.41541
gpt-4-turbo,winobias,openai,100,0.633137,0.273598,0.001,0.01,0.032,0.073691,0.17,0.7875,0.001428,1.237961,0.030317,0.0,,0.31167,0.133578,0.416884,0.0,,0.283746,0.316126,0.41541
gpt-4.1,winobias,openai,100,0.660851,0.384431,0.002,0.014071,0.06,0.092113,0.17,0.7875,0.001428,1.237961,0.030317,0.0,,0.31167,0.133578,0.416884,0.0,,0.283746,0.316126,0.41541
gpt-4.1-mini,winobias,openai,100,0.662129,0.340654,0.001,0.01,0.03,0.071774,0.17,0.7875,0.001428,1.237961,0.030317,0.0,,0.31167,0.133578,0.416884,0.0,,0.283746,0.316126,0.41541
gpt-4o,winobias,openai,100,0.646551,0.265241,0.0,0.0,0.008,0.039389,0.17,0.7875,0.001428,1.237961,0.030317,0.0,,0.31167,0.133578,0.416884,0.0,,0.283746,0.316126,0.41541
gpt-4o-mini,winobias,openai,100,0.731933,0.265832,0.001,0.01,0.008,0.039389,0.17,0.7875,0.001428,1.237961,0.030317,0.0,,0.31167,0.133578,0.416884,0.0,,0.283746,0.316126,0.41541
